segment	variable	group	num
nMF	voice_sms_count_in_out_alltime_alldays_d28_topnum_2016_01_21_dense_circle_d168_avg_10_per	0.0	1476170
nMF	voice_sms_count_in_out_alltime_alldays_d28_topnum_2016_01_21_dense_circle_d168_avg_10_per	1.0	69627
nMF	voice_sms_count_in_out_alltime_alldays_d28_topnum_2016_01_21_dense_circle_d168_avg_10_per	2.0	178751
nMF	voice_sms_count_in_out_alltime_alldays_d28_topnum_2016_01_21_dense_circle_d168_avg_10_per	3.0	139396
nMF	voice_sms_count_in_out_alltime_alldays_d28_topnum_2016_01_5_dense_circle_d168_avg_10_per	0.0	573904
nMF	voice_sms_count_in_out_alltime_alldays_d28_topnum_2016_01_5_dense_circle_d168_avg_10_per	1.0	158671
nMF	voice_sms_count_in_out_alltime_alldays_d28_topnum_2016_01_5_dense_circle_d168_avg_10_per	2.0	166371
nMF	voice_sms_count_in_out_alltime_alldays_d28_topnum_2016_01_5_dense_circle_d168_avg_10_per	3.0	157645
nMF	voice_sms_count_in_out_alltime_alldays_d28_topnum_2016_01_5_dense_circle_d168_avg_10_per	4.0	164711
nMF	voice_sms_count_in_out_alltime_alldays_d28_topnum_2016_01_5_dense_circle_d168_avg_10_per	5.0	176539
nMF	voice_sms_count_in_out_alltime_alldays_d28_topnum_2016_01_5_dense_circle_d168_avg_10_per	6.0	160580
nMF	voice_sms_count_in_out_alltime_alldays_d28_topnum_2016_01_5_dense_circle_d168_avg_10_per	7.0	147609
nMF	voice_sms_count_in_out_alltime_alldays_d28_topnum_2016_01_5_dense_circle_d168_avg_10_per	8.0	157914
nMF	voice_sms_count_in_out_alltime_alldays_d28_topnum_2016_01_8_dense_circle_d168_avg_10_per	0.0	1033457
nMF	voice_sms_count_in_out_alltime_alldays_d28_topnum_2016_01_8_dense_circle_d168_avg_10_per	1.0	23013
nMF	voice_sms_count_in_out_alltime_alldays_d28_topnum_2016_01_8_dense_circle_d168_avg_10_per	2.0	171790
nMF	voice_sms_count_in_out_alltime_alldays_d28_topnum_2016_01_8_dense_circle_d168_avg_10_per	3.0	151106
nMF	voice_sms_count_in_out_alltime_alldays_d28_topnum_2016_01_8_dense_circle_d168_avg_10_per	4.0	167661
nMF	voice_sms_count_in_out_alltime_alldays_d28_topnum_2016_01_8_dense_circle_d168_avg_10_per	5.0	156161
nMF	voice_sms_count_in_out_alltime_alldays_d28_topnum_2016_01_8_dense_circle_d168_avg_10_per	6.0	160756
